total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
4255,5.8,5.4,08027,39909,6,8,8,0.007050528789659225,Southwest
30952,27.1,12.8,08029,40451,6,8,8,0.009530886533988111,Southwest
600158(r39385),3922.6,1868,08031,45501,1,8,8,0.013724719157288581,Southwest
2064,1.9,1.4,08033,43058,6,8,8,0.029069767441860465,Southwest
285465,339.7,127.2,08035,99198,2,8,8,0.004144115740984009,Southwest
52197,31,18.6,08037,71337,5,8,8,0.006571258884610227,Southwest
23086,12.5,4.8,08039,78958,2,8,8,0.006584076929740969,Southwest
622263,292.6,118.9,08041,56268,3,8,8,0.009557052243183348,Southwest
46824,30.5,12.6,08043,37847,5,8,8,0.017298821117375705,Southwest
56389,19.1,7.9,08045,64902,5,8,8,0.01133199737537463,Southwest
5441,36.3,23.7,08047,58036,2,8,8,0.007535379525822459,Southwest
14843,8,8.7,08049,60433,6,8,8,0.004918143232500168,Southwest
15324,4.7,3.5,08051,49356,6,8,8,0.01357347950926651,Southwest
843,0.8,1.2,08053,74659,6,8,8,0.010676156583629894,Southwest
6711,4.2,3.2,08055,30058,6,8,8,0.03188794516465505,Southwest
1394,0.9,0.8,08057,37222,6,8,8,0.012195121951219513,Southwest
534543,699.5,300.9,08059,66075,2,8,8,0.008824360247912702,Southwest
1398,0.8,0.5,08061,40089,6,8,8,0.005007153075822604,Southwest
8270,3.8,1.6,08063,41678,6,8,8,0.00713422007255139,Southwest
7310,19.4,11.3,08065,41103,6,8,8,0.013269493844049247,Southwest
51334,30.3,15.3,08067,56422,5,8,8,0.05818755600576616,Southwest
299630,115.4,51.1,08069,56447,3,8,8,0.007362413643493642,Southwest
15507,3.2,1.7,08071,38134,6,8,8,0.024182627200619075,Southwest
5467,2.1,0.9,08073,41616,6,8,8,0.00932869946954454,Southwest
22709,12.4,4.9,08075,40961,5,8,8,0.011581311374344974,Southwest
146723,44.1,18.8,08077,52067,4,8,8,0.010591386490188995,Southwest
712,0.8,1.4,08079,53438,6,8,8,0.0056179775280898875,Southwest
13795,2.9,1.3,08081,53587,5,8,8,0.00884378397970279,Southwest
25535,12.6,6,08083,44103,6,8,8,0.12249853142745251,Southwest
41276,18.4,8.1,08085,46590,5,8,8,0.01080531059211164,Southwest
28159,22,9,08087,43111,5,8,8,0.00841649206292837,Southwest
18831,14.9,7.1,08089,34142,6,8,8,0.017949126440443948,Southwest
4436,8.2,5.7,08091,58393,6,8,8,0.003832281334535618,Southwest
16206,7.4,6.4,08093,64098,2,8,8,0.009379242255954585,Southwest
4442,6.5,3,08095,44084,6,8,8,0.004502476361999099,Southwest
17148,17.7,13.3,08097,64502,5,8,8,0.002624212736179146,Southwest
12551,7.7,3.6,08099,33969,6,8,8,0.008923591745677636,Southwest
159063,66.7,29.1,08101,40699,4,8,8,0.01920622646372821,Southwest
6666,2.1,1,08103,57992,6,8,8,0.00885088508850885,Southwest
11982,13.1,7.3,08105,39871,6,8,8,0.018360874645301284,Southwest
23509,10,6.9,08107,60876,5,8,8,0.0046365221829937475,Southwest
6108,1.9,1.2,08109,30430,6,8,8,0.018664047151277015,Southwest
699,1.8,2,08111,43783,6,8,8,0.002861230329041488,Southwest
7359,5.7,5.2,08113,66399,6,8,8,0.0077456176110884635,Southwest
2379,4.3,2.6,08115,37625,6,8,8,0.004203446826397646,Southwest
27994,46,49.1,08117,68750,5,8,8,0.0031078088161748947,Southwest
23350,41.9,22.7,08119,58080,3,8,8,0.009079229122055674,Southwest
4814,1.9,1,08121,39735,6,8,8,0.0014540922309929372,Southwest
252825,63.4,24.1,08123,55596,3,8,8,0.011142094334025512,Southwest
10043,4.2,1.9,08125,42114,6,8,8,0.004978592054167082,Southwest
916829,1467.2,578.1,09001,81268,3,9,1,0.002600266789117709,Northeast
894014,1216.2,509.1,09003,62590,1,9,1,0.0026699805595885523,Northeast
189927,206.3,95.1,09005,69639,5,9,1,0.0021271330563848215,Northeast
165676,448.6,202.6,09007,74906,2,9,1,0.0015270769453632391,Northeast
862477,1426.7,598.8,09009,61114,3,9,1,0.0028951496677592564,Northeast
274055,412.2,182,09011,65419,3,9,1,0.009140500994325956,Northeast
152691,372.2,141.3,09013,77175,2,9,1,0.0017289820618111088,Northeast
118428,230.9,95.7,09015,59370,3,9,1,0.004745499375147769,Northeast
162310,276.9,111.5,10001,53183,4,10,3,0.006425974986137638,Northeast
538479,1263.2,510.2,10003,62474,2,10,3,0.0029230480668698314,Northeast
197145,210.6,131.4,10005,51046,3,10,3,0.007933247102386569,Northeast
601723(r39495),9856.5,4860.4,11001,58526,1,11,3,0.003455078167196534,Southeast
247336,282.7,128.9,12001,40644,3,12,4,0.0031212601481385646,Southeast
27115,46.3,16.6,12003,47276,2,12,4,0.0028028766365480362,Southeast
168852,222.6,131.4,12005,47770,4,12,4,0.006828465164759671,Southeast
28520,97,37.5,12007,41126,6,12,4,0.0031907433380084153,Southeast
543376,535,265.7,12009,49523,3,12,4,0.003897853420099526,Southeast
1748066,1444.9,669.9,12011,51694,2,12,4,0.00289748785228933,Southeast
14625,25.8,10.6,12013,31699,6,12,4,0.011282051282051283,Southeast
159978,235.2,147.9,12015,45037,4,12,4,0.0026066084086561903,Southeast
141236,242.8,134.1,12017,37933,4,12,4,0.003412727633181342,Southeast
190865,315.8,124.9,12019,61185,2,12,4,0.00456343488853378,Southeast
321520,160.9,98.7,12021,58106,3,12,4,0.0034927842746951977,Southeast
67531,84.7,35.9,12023,38214,5,12,4,0.0051235728776413796,Southeast
34862,54.7,22.9,12027,35979,5,12,4,0.003929780276518846,Southeast
16422,23.3,13.2,12029,32312,6,12,4,0.004201680672268907,Southeast
864263,1133.9,509.7,12031,49463,1,12,4,0.003949029404243847,Southeast
297619,453.4,208.2,12033,43573,3,12,4,0.008813281410125025,Southeast
95696,197.1,100.1,12035,48090,3,12,4,0.0027900852700217353,Southeast
11549,21.6,16.2,12037,36490,6,12,4,0.00502207983375184,Southeast
46389,89.8,37.8,12039,35728,3,12,4,0.0029532863394339175,Southeast
16939,48.4,20.9,12041,37039,3,12,4,0.004958970423283547,Southeast
12884,16,8.7,12043,39429,6,12,4,0.045715616268239674,Southeast
15863,28.1,16.2,12045,39178,4,12,4,0.003971506020298808,Southeast
14799,28.8,11.2,12047,37613,6,12,4,0.00628420839245895,Southeast
27731,43.5,15.2,12049,37466,5,12,4,0.006202444917240633,Southeast
39140,34,12.6,12051,37298,5,12,4,0.0171691364333163,Southeast
172778,365.6,178.8,12053,42011,2,12,4,0.0035479054046232738,Southeast
98786,97.2,54.5,12055,34946,4,12,4,0.0047678820885550584,Southeast
1229226,1204.9,525.5,12057,49536,1,12,4,0.003887812330686139,Southeast
19927,41.6,18,12059,32247,6,12,4,0.008029306970442114,Southeast
138028,274.5,151.8,12061,47341,4,12,4,0.0029559219868432493,Southeast
49746,54.2,22.9,12063,38257,6,12,4,0.006734209785711414,Southeast
14761,24.7,11.1,12065,41359,3,12,4,0.0025066052435471853,Southeast
8870,16.3,6.1,12067,46445,6,12,4,0.004284103720405863,Southeast
297052(r40336),316.6,154.5,12069,46477,2,12,4,0.004955361350874594,Southeast
618754,788.7,473,12071,50014,3,12,4,0.0035442195121162855,Southeast
275487,413.1,186.2,12073,44490,3,12,4,0.002813199896909836,Southeast
40801,36.5,18,12075,35737,6,12,4,0.004166564544986643,Southeast
8365,10,4,12077,40777,6,12,4,0.010639569635385536,Southeast
19224,27.6,12.2,12079,37459,6,12,4,0.004837702871410736,Southeast
322833,434.5,232.4,12081,47812,3,12,4,0.0032338701433868287,Southeast
331298(r40439),209.1,103.5,12083,40339,3,12,4,0.003951125572747194,Southeast
146318,269.2,143.8,12085,53210,3,12,4,0.0057409204609139,Southeast
2496435(r40445),1315.5,521.4,12086,43605,1,12,4,0.0020028560727597556,Southeast
73090,74.3,53.7,12087,53821,5,12,4,0.004049801614447941,Southeast
73314,113,54,12089,58712,2,12,4,0.004201107564721609,Southeast
180822,194.4,99.3,12091,54242,4,12,4,0.0059063609516541125,Southeast
39996,52,24.1,12093,38339,5,12,4,0.009500950095009501,Southeast
1145956,1268.5,540,12095,50138,1,12,4,0.00395477662318623,Southeast
268685,202.4,96.6,12097,46328,2,12,4,0.005404097735266204,Southeast
1320134,670.2,337.4,12099,53242,2,12,4,0.004577565610763756,Southeast
464697,622.2,306.5,12101,44228,2,12,4,0.003542093019752656,Southeast
916542,3347.5,1839.4,12103,45258,1,12,4,0.00315533821690659,Southeast
602095,334.9,156.4,12105,43946,3,12,4,0.0044943073767428725,Southeast
74364,102.2,51.3,12107,34645,5,12,4,0.004827604754988973,Southeast
190039,316.4,149.6,12109,62663,2,12,4,0.002899404859002626,Southeast
277789,485.7,239.6,12111,45196,3,12,4,0.00404263667747823,Southeast
151372,149.6,64,12113,55129,3,12,4,0.008627751499616839,Southeast
379448,682.6,410.9,12115,49388,3,12,4,0.0024904598258522906,Southeast
422718,1367,586.3,12117,58971,2,12,4,0.003278781599080238,Southeast
93420,170.8,97,12119,43079,4,12,4,0.0038428602012417043,Southeast
41551,60.3,27.8,12121,36352,6,12,4,0.005078096796707661,Southeast
22570,21.6,10.5,12123,37408,6,12,4,0.007975188303057155,Southeast
15535,63.8,18.5,12125,41794,6,12,4,0.0036691342130672675,Southeast
494593,449.2,230.9,12127,44400,3,12,4,0.0035948749780122242,Southeast
30776,50.8,21.1,12129,53301,3,12,4,0.006206134650376917,Southeast
55043,53,43.5,12131,47273,4,12,4,0.008865795832349255,Southeast
24896,42.7,18.5,12133,36216,6,12,4,0.012813303341902314,Southeast
18236,36,16.8,13001,36155,6,13,4,0.003728887914016232,Southeast
8375,24.7,10.4,13003,33834,6,13,4,0.005611940298507463,Southeast
11096,42.9,18.6,13005,31429,6,13,4,0.001802451333813987,Southeast
3451,10.1,4.8,13007,27462,4,13,4,0.002607939727615184,Southeast
45720,177.3,78.2,13009,37237,5,13,4,0.002143482064741907,Southeast
18395,79.3,32.7,13011,40455,6,13,4,0.003098668116335961,Southeast
69367,432.7,164.7,13013,48958,2,13,4,0.002681390286447446,Southeast
100157,217.9,86.7,13015,49216,2,13,4,0.003923839571872161,Southeast
