GEOID,county_type
39041,non-AI
39043,non-AI
39047,non-AI
39045,non-AI
48215,non-AI
48231,non-AI
39051,non-AI
39053,non-AI
48217,non-AI
48219,non-AI
48221,non-AI
48223,non-AI
48225,non-AI
48227,non-AI
48229,non-AI
48249,non-AI
48233,non-AI
48235,non-AI
48237,non-AI
48245,non-AI
48247,non-AI
48239,non-AI
48241,non-AI
48243,non-AI
48265,non-AI
48251,non-AI
48253,non-AI
48255,non-AI
48257,non-AI
48259,non-AI
48261,non-AI
48263,non-AI
48277,non-AI
48267,non-AI
48269,non-AI
48271,non-AI
48273,non-AI
48275,non-AI
48293,non-AI
48279,non-AI
48281,non-AI
48283,non-AI
48285,non-AI
48287,non-AI
48289,non-AI
48291,non-AI
48303,non-AI
48295,non-AI
48297,non-AI
48299,non-AI
48305,non-AI
48301,non-AI
48317,non-AI
48307,non-AI
48309,non-AI
48311,non-AI
48313,non-AI
48315,non-AI
48319,non-AI
48321,non-AI
48323,non-AI
48325,non-AI
20009,non-AI
20017,non-AI
20015,non-AI
20051,non-AI
20027,non-AI
20025,non-AI
20029,non-AI
20019,non-AI
20021,non-AI
20023,non-AI
20031,non-AI
20033,non-AI
20035,non-AI
20037,non-AI
20039,non-AI
20041,non-AI
20043,non-AI
20047,non-AI
20049,non-AI
20063,non-AI
20053,non-AI
20055,non-AI
20057,non-AI
20059,non-AI
20061,non-AI
20045,non-AI
20065,non-AI
20067,non-AI
20069,non-AI
20071,non-AI
20073,non-AI
20075,non-AI
20077,non-AI
20079,non-AI
20087,non-AI
20081,non-AI
20083,non-AI
20089,non-AI
20091,non-AI
20107,non-AI
20093,non-AI
20095,non-AI
20097,non-AI
20099,non-AI
20101,non-AI
20103,non-AI
20105,non-AI
20119,non-AI
20109,non-AI
20111,non-AI
20113,non-AI
20115,non-AI
20117,non-AI
39055,non-AI
39083,non-AI
20127,non-AI
20121,non-AI
39057,non-AI
39059,non-AI
39061,non-AI
39063,non-AI
39065,non-AI
39067,non-AI
39069,non-AI
39071,non-AI
39073,non-AI
39075,non-AI
39077,non-AI
39079,non-AI
40083,non-AI
48439,non-AI
48441,non-AI
48451,non-AI
40093,non-AI
48443,non-AI
48445,non-AI
48447,non-AI
48449,non-AI
48463,non-AI
48453,non-AI
48455,non-AI
48457,non-AI
48459,non-AI
48461,non-AI
48479,non-AI
48465,non-AI
48467,non-AI
48469,non-AI
48471,non-AI
48473,non-AI
48475,non-AI
48477,non-AI
48491,non-AI
48487,non-AI
48489,non-AI
48481,non-AI
48483,non-AI
48485,non-AI
48503,non-AI
48493,non-AI
48495,non-AI
48497,non-AI
48499,non-AI
48501,non-AI
48505,non-AI
48507,non-AI
49001,non-AI
49003,non-AI
49007,non-AI
49009,non-AI
49023,non-AI
49011,non-AI
49005,non-AI
49015,non-AI
49017,non-AI
49019,non-AI
49021,non-AI
49039,non-AI
49025,non-AI
49027,non-AI
49033,non-AI
49029,non-AI
49031,non-AI
49035,non-AI
49041,non-AI
21139,non-AI
21163,non-AI
51059,non-AI
51061,non-AI
51063,non-AI
51065,non-AI
51067,non-AI
51069,non-AI
21141,non-AI
21143,non-AI
21145,non-AI
21153,non-AI
21155,non-AI
21157,non-AI
21147,non-AI
21149,non-AI
21151,non-AI
21159,non-AI
21161,non-AI
21179,non-AI
21165,non-AI
21167,non-AI
21169,non-AI
21171,non-AI
21173,non-AI
21175,non-AI
21177,non-AI
21189,non-AI
21181,non-AI
21183,non-AI
21185,non-AI
21191,non-AI
21187,non-AI
21207,non-AI
21193,non-AI
21195,non-AI
21197,non-AI
21199,non-AI
21201,non-AI
21203,non-AI
21205,non-AI
21219,non-AI
21209,non-AI
21211,non-AI
21213,non-AI
21215,non-AI
21217,non-AI
21239,non-AI
21221,non-AI
21223,non-AI
21225,non-AI
21227,non-AI
21229,non-AI
21231,non-AI
21233,non-AI
21235,non-AI
22001,non-AI
21237,non-AI
41061,non-AI
41063,non-AI
42007,non-AI
22007,non-AI
22003,non-AI
22005,non-AI
22011,non-AI
41067,non-AI
41069,non-AI
41071,non-AI
42001,non-AI
21023,non-AI
21037,non-AI
21029,non-AI
21031,non-AI
21033,non-AI
21039,non-AI
21035,non-AI
21055,non-AI
21041,non-AI
21043,non-AI
21045,non-AI
21047,non-AI
21049,non-AI
21051,non-AI
21053,non-AI
21067,non-AI
21057,non-AI
21059,non-AI
21061,non-AI
21063,non-AI
21065,non-AI
21083,non-AI
21069,non-AI
21071,non-AI
21073,non-AI
21077,non-AI
21075,non-AI
21079,non-AI
21081,non-AI
21095,non-AI
21085,non-AI
21087,non-AI
21089,non-AI
21091,non-AI
21093,non-AI
21117,non-AI
21097,non-AI
21099,non-AI
21101,non-AI
21103,non-AI
21105,non-AI
21107,non-AI
21109,non-AI
21111,non-AI
21115,non-AI
21113,non-AI
21129,non-AI
21119,non-AI
21121,non-AI
21123,non-AI
21125,non-AI
21127,non-AI
21131,non-AI
21133,non-AI
21135,non-AI
21137,non-AI
40119,non-AI
40139,non-AI
41017,non-AI
40151,non-AI
40153,non-AI
41001,non-AI
41003,non-AI
41005,non-AI
41007,non-AI
41009,non-AI
41011,non-AI
41013,non-AI
41015,non-AI
41019,non-AI
41021,non-AI
41023,non-AI
